price_earnings,price_book,price_sales,valuation_z__scaled,earnings_share,dividend_yield,ebitda,ebitda_log__scaled,profitability_ratio__scaled,market_cap,price,52w_range__scaled,price_to_52w_high__scaled,market_cap_log__scaled,dividend_flag__scaled
24.31,11.34,4.3902707,0.908281078,7.92,2.3328617,9048000000,1.102991288,-0.189243647,1.38721E+11,222.89,-0.22947849,0.269949883,1.477266757,0
27.76,6.35,3.5754826,0.502909407,1.7,1.1479592,601000000,-0.632341139,-0.336064277,10783419933,60.24,0.083848927,0.112032195,-0.541755201,0
22.51,3.19,3.7404804,0.076988291,0.26,1.9089824,5744000000,0.812209534,-0.328124058,1.02121E+11,56.27,-0.39525625,0.517179885,1.235164586,0
19.41,26.14,6.291571,2.228955629,3.29,2.4995599,10310000000,1.186548829,-0.31895004,1.81386E+11,108.48,-1.790809655,2.451492996,1.689221649,0
25.47,10.62,2.604117,0.685734742,5.44,1.7144699,5643228000,0.800882829,-0.314348688,98765855553,150.51,0.011209541,0.435615247,1.208760071,0
31.8,5.16,10.59512,1.315937722,1.28,0.43190324,2704000000,0.330062333,-0.401769052,52518668144,65.83,-1.457757696,1.981704269,0.709561495,0
18.22,3.55,1.7953473,-0.250215104,7.43,0.35118526,587800000,-0.646553079,0.258431853,6242377704,145.41,-0.587125996,-0.730898717,-0.973822078,0
52.31,11.06,13.092818,2.776702599,3.39,0,2538040000,0.28952841,-0.782997019,94550214268,185.16,-1.140270885,1.68410327,1.174282452,-1
19.54,2.51,1.1301061,-0.370083116,6.19,0.21832074,853941000,-0.407550641,0.427913536,8123611867,109.63,-1.887576058,0.7619264,-0.765621895,0
187,21.47,2.1091955,6.886500289,0.03,0,339000000,-0.998768426,-0.729670606,11191663795,12.8328,-0.64777634,0.042100079,-0.512384668,-1
9.96,2.2,0.65951383,-0.764906443,-1.72,4.961832,3001000000,0.396752835,5.509768666,6920851212,12.8328,-0.64777634,0.042100079,-0.892271279,0
18.11,3.79,0.9923546,-0.322695282,5.75,1.101989,4139000000,0.602499614,-0.11661776,59197016353,178,-0.707817109,1.161913137,0.804173396,0
12.24,2.89,4.591235,-0.192520577,12.07,0.6387395,1261400000,-0.157899549,0.670485308,10442174371,179.11,-0.14909139,-0.000450391,-0.567171791,0
12.24,1.53,1.5429344,-0.648845823,11.01,2.4299066,0,-13.56818948,-1.198261177,33422948000,83.25,0.356433464,0.02563457,0.352362676,0
27.45,4.56,6.493563,0.664122969,2.1,0.8756979,1094000000,-0.249015411,-0.428444846,21984606918,65.05,-0.380221872,0.478377985,0.021267159,0
24.22,3.35,4.1163683,0.188964227,13.66,2.7811136,2542500000,0.290651968,-0.062748981,34638387128,152.8,0.457397105,-0.245126056,0.380595326,0
32.55,3.25,5.8546524,0.648613752,1.79,0,789517000,-0.457748138,-0.078440466,10906904066,62.49,-0.494371063,0.796435157,-0.532755615,-1
9.66,2.21,0.9801092,-0.738222085,8.28,1.9928383,1665000000,0.019750118,2.060865282,7903173734,64.04,-0.948707813,-0.499768772,-0.787365943,0
26.03,2.98,5.3666205,0.356148951,5.66,1.2004126,686030000,-0.547659947,-0.297505482,11782151266,105.18,-0.641859625,-0.161001034,-0.471745394,0
19.03,2.07,10.492155,0.618289156,1.57,3.0262272,0,-13.56818948,-1.198261177,12043374429,114.58,0.714132968,-0.535968669,-0.454412969,0
22.18,2.82,9.720562,0.700544323,1.77,0,1072000000,-0.262015596,-0.564626293,26172439795,108.47,-0.477519025,-0.308871912,0.15908346,-1
56.59,16.44,13.138819,3.384712892,2.84,0,380326000,-0.925156786,-0.885103538,18788041378,220.71,-3.008721542,4.797067129,-0.102920829,-1
21.07,20.48,4.265232,1.572099528,2.37,0.8004002,531800000,-0.710623575,-0.115717172,7599609494,77.32,0.300369756,-0.18242041,-0.818323678,0
10.65,0.8304,4.820115,-0.396224282,23.6712,1.643289,-371216000,-13.56818948,-1.299598847,56668833898,164.2,-0.640450306,-0.723630371,0.76967534,0
13.02,8.28,1.7282298,-0.023093023,14.13,0.9240122,2143200000,0.181319336,1.233787362,13632608582,240.6,0.363356816,-0.213642095,-0.356443882,0
19.86,2.13,3.4331481,-0.135589172,1.65,3.5733333,1168400000,-0.206910713,0.886482974,8670163500,37.14,0.818709889,-0.795445989,-0.71415725,0
13.26,1.67,1.2085556,-0.640456534,4.68,1.5278208,0,-13.56818948,-1.198261177,34759468905,90.06,0.259885829,-0.183424519,0.3833534,0
31.48,4.7,6.801692,0.843308664,22.27,0,34156880000,1.953102782,-0.17807765,5.17951E+11,597.3352,-0.372248043,0.435667141,2.518541382,-1
40.29,4.67,6.772653,1.127905693,22.27,0,32714000000,1.925482318,-0.221172992,5.17951E+11,597.3352,-0.372248043,0.435667141,2.518541382,-1
18.89,10.32,4.945682,0.703940043,5.31,3.9526875,10773000000,1.214660638,0.114157472,1.26985E+11,64.05,0.524875936,-0.554762558,1.407399748,0
200.0692,24.28,3.927053,7.761019766,6.16,0,16132000000,1.473044684,-0.716437291,5.17951E+11,597.3352,-0.372248043,0.435667141,2.518541382,-1
20.38,1.79,2.693119,-0.230073564,2.68,3.4404964,2298000000,0.225948317,1.55631921,12905744906,52.59,0.737249379,-0.767335777,-0.399751106,0
9.92,6.03,0.58022565,-0.44630251,3.91,0.7782101,5761000000,0.814100714,2.425354741,24594852352,48.6,-0.322971688,0.145412021,0.109944947,0
17.32,1.81,2.7489934,-0.323000162,1.24,3.8479443,4450800000,0.648978348,0.973645021,31701916517,63.38,0.773199662,-0.783801124,0.310578116,0
15,3.75,2.273575,-0.285914155,2.9,1.4955667,0,-13.56818948,-1.198261177,80410990000,88.34,0.257951202,-0.137526752,1.04625454,0
23.22,0.8304,1.4686536,-0.355234738,-0.76,2.1167521,0,-13.56818948,-1.198261177,54360073164,58.28,1.218421009,-0.798334843,0.736799399,0
20.68,9.22,11.954137,1.449280392,1.97,2,3792383000,0.546530552,-0.207481517,59213892640,133.57,-0.307551285,0.360151284,0.804398694,0
26.23,2.55,5.553833,0.346687618,2.63,2.129297,1711000000,0.037190366,0.705146087,13906146184,76.06,0.578748438,-0.592654612,-0.34074171,0
12.41,3.73,1.9493247,-0.409128139,9.44,2.0735743,0,-13.56818948,-1.198261177,23472126000,152.5,-0.460311613,0.323379226,0.073014989,0
15.54,9.73,0.408193438,0.037383326,1.64,1.6132456,991884000,-0.311723178,-0.452943417,20587704101,91.55,-0.221458067,0.282945689,-0.030620923,0
27.61,4.54,4.015368,0.391604264,2.94,0.75512403,1025763000,-0.2902302,-0.272426305,17139651923,72.05,-0.402666649,0.815378013,-0.175499369,0
13.76,3.91,5.58192,0.055501741,2.57,2.9751508,11945000000,1.280747271,0.243895717,1.28133E+11,173.12,0.404604454,-0.268329494,1.414514601,0
25.9,6.64,3.85675,0.497824048,2.05,0.8608971,1671700000,0.022320091,-0.238855894,26955335395,84.44,0.107876616,0.210269266,0.18237973,0
-21.29,2.88,3.9682212,-1.368045219,-5.9,1.7029973,3115000000,0.420612155,0.301589783,32129091747,56.2,-1.053269512,0.824312117,0.321157334,0
17.67,3.13,8.00391,0.387250418,2.11,2.108963,1663384000,0.019128708,-0.389359383,31811578855,82.68,0.425397564,-0.391077639,0.3133075,0
18.78,1.7,0.6618165,-0.516831596,6.13,2.3454583,2548000000,0.292034811,1.312968836,15696449735,96.9,-0.689254281,0.351319389,-0.245022319,0
42.53,5.79,16.18455464,2.346386454,2.99,0,458515000,-0.805510587,-0.659097215,13155919129,148.84,-1.034868455,1.508743809,-0.384576184,-1
19.23,2.28,0.6696521,-0.451339781,14.36,1.2581781,0,-13.56818948,-1.198261177,61221978627,230.57,-0.940254311,1.084488815,0.830758331,0
20.8,6.78,3.4972682,0.301681088,4.66,1.0245464,1858000000,0.089936051,-0.379907416,35123123422,136.05,0.285928572,-0.008477093,0.39157955,0
